Índice,Año,Cantón,Posición,Valor
Indice de Conocimiento (IC),2011,206,67,0.786
Indice de Conocimiento (IC),2011,111,68,0.783
Indice de Conocimiento (IC),2011,603,69,0.76
Indice de Conocimiento (IC),2011,611,70,0.76
Indice de Conocimiento (IC),2011,103,71,0.753
Indice de Conocimiento (IC),2011,302,72,0.749
Indice de Conocimiento (IC),2011,118,73,0.748
Indice de Conocimiento (IC),2011,702,74,0.744
Indice de Conocimiento (IC),2011,706,75,0.732
Indice de Conocimiento (IC),2011,214,76,0.717
Indice de Conocimiento (IC),2011,215,77,0.708
Indice de Conocimiento (IC),2011,705,78,0.688
Indice de Conocimiento (IC),2011,410,79,0.688
Indice de Conocimiento (IC),2011,704,80,0.673
Indice de Conocimiento (IC),2011,110,81,0.635
Indice de Bienestar Material (IBM),2011,102,1,1
Indice de Bienestar Material (IBM),2011,109,2,1
Indice de Bienestar Material (IBM),2011,407,3,1
Indice de Bienestar Material (IBM),2011,115,4,0.954
Indice de Bienestar Material (IBM),2011,403,5,0.931
Indice de Bienestar Material (IBM),2011,409,6,0.897
Indice de Bienestar Material (IBM),2011,114,7,0.889
Indice de Bienestar Material (IBM),2011,405,8,0.884
Indice de Bienestar Material (IBM),2011,406,9,0.871
Indice de Bienestar Material (IBM),2011,408,10,0.865
Indice de Bienestar Material (IBM),2011,118,11,0.845
Indice de Bienestar Material (IBM),2011,113,12,0.825
Indice de Bienestar Material (IBM),2011,401,13,0.797
Indice de Bienestar Material (IBM),2011,308,14,0.784
Indice de Bienestar Material (IBM),2011,509,15,0.768
Indice de Bienestar Material (IBM),2011,501,16,0.768
Indice de Bienestar Material (IBM),2011,307,17,0.763
Indice de Bienestar Material (IBM),2011,607,18,0.742
Indice de Bienestar Material (IBM),2011,402,19,0.73
Indice de Bienestar Material (IBM),2011,209,20,0.729
Indice de Bienestar Material (IBM),2011,205,21,0.724
Indice de Bienestar Material (IBM),2011,107,22,0.709
Indice de Bienestar Material (IBM),2011,601,23,0.703
Indice de Bienestar Material (IBM),2011,404,24,0.702
Indice de Bienestar Material (IBM),2011,301,25,0.687
Indice de Bienestar Material (IBM),2011,602,26,0.686
Indice de Bienestar Material (IBM),2011,506,27,0.684
Indice de Bienestar Material (IBM),2011,204,28,0.682
Indice de Bienestar Material (IBM),2011,610,29,0.671
Indice de Bienestar Material (IBM),2011,507,30,0.67
Indice de Bienestar Material (IBM),2011,303,31,0.666
Indice de Bienestar Material (IBM),2011,511,32,0.649
Indice de Bienestar Material (IBM),2011,210,33,0.647
Indice de Bienestar Material (IBM),2011,101,34,0.634
Indice de Bienestar Material (IBM),2011,108,35,0.631
Indice de Bienestar Material (IBM),2011,306,36,0.625
Indice de Bienestar Material (IBM),2011,503,37,0.618
Indice de Bienestar Material (IBM),2011,505,38,0.613
Indice de Bienestar Material (IBM),2011,116,39,0.613
Indice de Bienestar Material (IBM),2011,611,40,0.611
Indice de Bienestar Material (IBM),2011,502,41,0.611
Indice de Bienestar Material (IBM),2011,606,42,0.603
Indice de Bienestar Material (IBM),2011,604,43,0.602
Indice de Bienestar Material (IBM),2011,605,44,0.596
Indice de Bienestar Material (IBM),2011,504,45,0.592
Indice de Bienestar Material (IBM),2011,201,46,0.588
Indice de Bienestar Material (IBM),2011,117,47,0.586
Indice de Bienestar Material (IBM),2011,508,48,0.583
Indice de Bienestar Material (IBM),2011,609,49,0.58
Indice de Bienestar Material (IBM),2011,104,50,0.577
Indice de Bienestar Material (IBM),2011,703,51,0.568
Indice de Bienestar Material (IBM),2011,203,52,0.567
Indice de Bienestar Material (IBM),2011,111,53,0.565
Indice de Bienestar Material (IBM),2011,106,54,0.56
Indice de Bienestar Material (IBM),2011,305,55,0.553
Indice de Bienestar Material (IBM),2011,304,56,0.551
Indice de Bienestar Material (IBM),2011,207,57,0.536
Indice de Bienestar Material (IBM),2011,302,58,0.536
Indice de Bienestar Material (IBM),2011,212,59,0.532
Indice de Bienestar Material (IBM),2011,112,60,0.504
Indice de Bienestar Material (IBM),2011,119,61,0.503
Indice de Bienestar Material (IBM),2011,206,62,0.496
Indice de Bienestar Material (IBM),2011,202,63,0.491
Indice de Bienestar Material (IBM),2011,211,64,0.485
Indice de Bienestar Material (IBM),2011,208,65,0.483
Indice de Bienestar Material (IBM),2011,213,66,0.457
Indice de Bienestar Material (IBM),2011,701,67,0.436
Indice de Bienestar Material (IBM),2011,608,68,0.436
Indice de Bienestar Material (IBM),2011,103,69,0.431
Indice de Bienestar Material (IBM),2011,105,70,0.43
Indice de Bienestar Material (IBM),2011,510,71,0.422
Indice de Bienestar Material (IBM),2011,706,72,0.413
Indice de Bienestar Material (IBM),2011,214,73,0.406
Indice de Bienestar Material (IBM),2011,702,74,0.403
Indice de Bienestar Material (IBM),2011,215,75,0.391
Indice de Bienestar Material (IBM),2011,120,76,0.379
Indice de Bienestar Material (IBM),2011,704,77,0.37
Indice de Bienestar Material (IBM),2011,603,78,0.35
Indice de Bienestar Material (IBM),2011,410,79,0.348
Indice de Bienestar Material (IBM),2011,110,80,0.312
Indice de Bienestar Material (IBM),2011,705,81,0.28
